Ratio Spot Daily,Ratio Spot Monthly,Daytype,Month,Year,Day of Week,Total (grid load)[MWh],Wind offshore[MWh],Wind onshore[MWh],Photovoltaics[MWh],Nuclear[MWh],Other renewable[MWh]
1.113292141142828,1.132241856117163,Friday,2,2018,4,18667,895,1530,1223,2355.5,61
0.9784813358525252,0.9951363913737814,Friday,2,2018,4,18755,899,1268,1833,2355.0,61
0.9821579941786244,0.9988756313213281,Friday,2,2018,4,18690,921,1191,2042,2352.0,61
0.9821579941786244,0.9988756313213281,Friday,2,2018,4,18495,921,1200,1925,2352.75,60
1.0377980901802586,1.0554627958608693,Friday,2,2018,4,17989,933,1149,1598,2352.5,60
1.0770157789919828,1.0953480219680347,Friday,2,2018,4,17764,917,1119,1012,2351.25,60
1.1319205433283972,1.1511873385180666,Friday,2,2018,4,17479,902,1124,371,2350.5,60
1.215503242608385,1.2361927266589634,Friday,2,2018,4,17643,904,1266,13,2350.75,60
1.2255527753663893,1.2464133158489246,Friday,2,2018,4,18435,893,1507,0,2351.25,60
1.127263442782005,1.1464509679178407,Friday,2,2018,4,18264,908,1569,0,2349.5,60
0.9809324414032581,0.9976292180054792,Friday,2,2018,4,17322,866,1482,0,2326.25,60
1.0034826124699994,1.0205632230170993,Friday,2,2018,4,16224,814,1292,0,2283.75,61
1.0167185824439564,1.0340244868282678,Friday,2,2018,4,15614,667,1142,0,2286.75,61
0.9912270847163356,1.00809908985861,Friday,2,2018,4,14858,498,1009,0,2335.75,61
0.90154914077711,0.8849534542527364,Saturday,2,2018,5,13956,393,881,0,2352.75,61
0.8766613053415729,0.8605237532620975,Saturday,2,2018,5,13253,338,766,0,2352.5,61
0.8705663252349107,0.8545409693460226,Saturday,2,2018,5,12829,311,724,0,2352.0,61
0.866756962668247,0.8508017293984759,Saturday,2,2018,5,12707,256,703,0,2352.0,61
0.8807246254126809,0.864512275872814,Saturday,2,2018,5,12618,225,707,0,2353.25,61
0.8568526199949209,0.8410797055348543,Saturday,2,2018,5,12746,231,680,0,2353.0,60
0.8954541606704478,0.8789706703366615,Saturday,2,2018,5,12642,264,613,0,2352.75,61
1.016337932785914,0.9976292180054792,Saturday,2,2018,5,13161,316,573,0,2347.5,61
1.1656649453991366,1.1442074239493127,Saturday,2,2018,5,14053,341,613,37,2353.0,61
1.1913146533480063,1.1693849729294608,Saturday,2,2018,5,14931,376,713,266,2352.5,61
1.1920765258613393,1.1701328209189703,Saturday,2,2018,5,15564,397,682,667,2353.5,61
1.2189960213324305,1.1965567832149675,Saturday,2,2018,5,15865,409,617,1005,2354.0,60
1.166172860408025,1.1447059892756524,Saturday,2,2018,5,15839,407,616,1190,2354.0,60
