,Yearly Clock (cos),Yearly Clock (sin),Weekly Clock (cos),Weekly Clock (sin),Month,Time,Year,Daytype,Photovoltaics[MWh],Wind onshore[MWh],Wind offshore[MWh],PV + W / Residual Load,COVID,Oil Price
20739,-0.659816895697865,0.7514264196524054,0.9738464736955992,-0.2272070546234131,6,07:00:00,2020,Saturday,1134,1160,966,0.4662471395881007,0.0,38.54
20740,-0.6603549561494808,0.7509536150048266,0.9816317389068752,-0.190785558076769,6,08:00:00,2020,Saturday,2404,707,826,0.537254366812227,0.0,38.54
20741,-0.6608926778038176,0.7504804250780293,0.988055347624932,-0.154099416059163,6,09:00:00,2020,Saturday,3824,586,985,0.8081186339125225,0.0,38.54
20742,-0.6614300603849953,0.7500068501147849,0.9931083894324144,-0.1171995172300476,6,10:00:00,2020,Saturday,5174,503,1047,1.108108108108108,0.0,38.54
20743,-0.6619671036173083,0.7495328903580628,0.996783855074287,-0.0801370467589291,6,11:00:00,2020,Saturday,6208,498,1073,1.4758110415480934,0.0,38.54
20746,-0.6635761944666113,0.7481087047596826,0.9995034055059606,0.0315109882737326,6,14:00:00,2020,Saturday,6128,1284,744,1.785073320201357,0.0,38.54
20747,-0.6641118775498901,0.747633208262688,0.997636781751676,0.0687084543281167,6,15:00:00,2020,Saturday,5408,1355,608,1.446712463199215,0.0,38.54
20748,-0.6646472199083888,0.7471573281900203,0.9943863003368492,0.105810612428024,6,16:00:00,2020,Saturday,4494,2090,572,1.3727220410512182,0.0,38.54
20749,-0.6651822212674484,0.7466810647858315,0.9897564701204848,0.1427659968432179,6,17:00:00,2020,Saturday,3531,2595,727,1.1905837387074356,0.0,38.54
20750,-0.6657168813525848,0.7462044182944702,0.9837537133056704,0.1795233454381495,6,18:00:00,2020,Saturday,2254,3352,724,0.975346687211094,0.0,38.54
20751,-0.6662511998894887,0.7457273889604811,0.976386356531097,0.216031670779841,6,19:00:00,2020,Saturday,1072,3620,874,0.7821810005621136,0.0,38.54
20752,-0.6667851766040263,0.7452499770286058,0.9676646193207964,0.2522403308647098,6,20:00:00,2020,Saturday,346,3365,896,0.6106839872746553,0.0,38.54
20753,-0.6673188112222389,0.7447721827437823,0.9576005999084072,0.2880990993652338,6,21:00:00,2020,Saturday,33,3535,843,0.6095067016719635,0.0,38.54
20754,-0.6678521034703438,0.7442940063511442,0.9462082584551968,0.3235582353011331,6,22:00:00,2020,Saturday,0,3138,999,0.5695993391160677,0.0,38.54
20755,-0.6683850530747336,0.7438154480960217,0.9335033976854844,0.3585685520366451,6,23:00:00,2020,Saturday,0,2876,1109,0.5862018240659017,0.0,38.54
20756,-0.6689176597619767,0.7433365082239405,0.9195036409659568,0.393081485509492,6,00:00:00,2020,Sunday,0,2803,1038,0.6170281124497992,0.0,38.54
20757,-0.6694499232588175,0.7428571869806224,0.9042284078598988,0.4270491615951873,6,01:00:00,2020,Sunday,0,2588,1368,0.7019162526614621,0.0,38.54
20758,-0.6699818432921764,0.7423774846119847,0.887698887189525,0.4604244625152739,6,02:00:00,2020,Sunday,0,2557,1307,0.7219730941704036,0.0,38.54
20759,-0.6705134195891501,0.7418974013641403,0.8699380076440363,0.4931610921963782,6,03:00:00,2020,Sunday,0,2477,1086,0.649826737187671,0.0,38.54
20760,-0.6710446518770118,0.7414169374833974,0.8509704059747185,0.5252136404885376,6,04:00:00,2020,Sunday,0,2249,849,0.5365431243505369,0.0,38.54
20761,-0.6715755398832107,0.7409360932162599,0.8308223928202887,0.5565376461555588,6,05:00:00,2020,Sunday,14,2197,1228,0.6338002211573903,0.0,38.54
20762,-0.6721060833353734,0.7404548688094259,0.8095219162102663,0.5870896585490658,6,06:00:00,2020,Sunday,168,2123,1107,0.6195077484047402,0.0,38.54
20763,-0.6726362819613024,0.7399732645097898,0.7870985227976305,0.6168272978798749,6,07:00:00,2020,Sunday,541,1727,882,0.4994450610432852,0.0,38.54
20764,-0.6731661354889779,0.7394912805644398,0.7635833168734326,0.6457093140048136,6,08:00:00,2020,Sunday,939,1576,751,0.4711482977495672,0.0,38.54
20765,-0.6736956436465565,0.7390089172206598,0.7390089172206904,0.6736956436465229,6,09:00:00,2020,Sunday,1275,1475,590,0.4374017810371922,0.0,38.54
20766,-0.6742248061623726,0.7385261747259275,0.7134094118681382,0.7007474659661332,6,10:00:00,2020,Sunday,1710,1585,576,0.4973021582733813,0.0,38.54
20768,-0.6752820931829401,0.7375595532744912,0.6592784967250669,0.7518988387781538,6,12:00:00,2020,Sunday,2223,1942,730,0.6193850436543085,0.0,38.54
20769,-0.6758102171452468,0.7370756748137157,0.6308221738628579,0.7759274353719801,6,13:00:00,2020,Sunday,2354,1962,799,0.7057119205298014,0.0,38.54
20770,-0.6763379943809021,0.7365914181938443,0.6014908150018612,0.7988797152690741,6,14:00:00,2020,Sunday,2522,2034,690,0.7930461073318216,0.0,38.54
20771,-0.676865424619128,0.7361067836633266,0.5713251067190852,0.8207238405410348,6,15:00:00,2020,Sunday,2464,2051,578,0.7774385589986261,0.0,38.54
20772,-0.6773925075893248,0.7356217714708059,0.5403668929471848,0.8414295104205733,6,16:00:00,2020,Sunday,2140,2061,497,0.6829481029219363,0.0,38.54
20773,-0.6779192430210706,0.7351363818651193,0.5086591169317974,0.860968003332391,6,17:00:00,2020,Sunday,1672,2139,476,0.5653435315838059,0.0,38.54
20774,-0.6784456306441224,0.7346506150952976,0.4762457616631662,0.8793122167341192,6,18:00:00,2020,Sunday,1152,2247,509,0.469768000961654,0.0,38.54
20775,-0.6789716701884151,0.7341644714105648,0.4431717888654534,0.8964367047113778,6,19:00:00,2020,Sunday,625,2273,603,0.3999314599040439,0.0,38.54
20776,-0.6794973613840625,0.7336779510603388,0.4094830766293189,0.9123177132743764,6,20:00:00,2020,Sunday,232,2260,548,0.3422267252054486,0.0,38.54
20777,-0.6800227039613568,0.7331910542942304,0.3752263557723857,0.9269332133081516,6,21:00:00,2020,Sunday,26,2111,558,0.3061804135423767,0.0,38.54
20778,-0.6805476976507694,0.7327037813620434,0.3404491450174567,0.9402629311298424,6,22:00:00,2020,Sunday,0,2196,607,0.3191392462712057,0.0,38.54
20779,-0.6810723421829505,0.7322161325137748,0.3051996850771686,0.9522883766112012,6,23:00:00,2020,Sunday,0,2296,687,0.3801937292888095,0.0,38.54
